Date,Num Highs,Num Lows,Strength
2013-12-03,270,22,92.46575342465754
2013-12-04,267,21,92.70833333333334
2013-12-05,262,21,92.57950530035336
2013-12-06,273,19,93.4931506849315
2013-12-09,274,19,93.51535836177474
2013-12-10,271,19,93.44827586206895
2013-12-11,251,26,90.61371841155234
2013-12-12,236,28,89.39393939393939
2013-12-13,248,26,90.51094890510949
2013-12-16,251,25,90.94202898550724
2013-12-17,243,23,91.35338345864662
2013-12-18,267,21,92.70833333333334
2013-12-19,270,22,92.46575342465754
2013-12-20,271,19,93.44827586206895
2013-12-23,283,18,94.01993355481729
2013-12-24,285,17,94.37086092715232
2013-12-26,293,15,95.12987012987011
2013-12-27,293,16,94.8220064724919
2013-12-30,296,15,95.17684887459808
2013-12-31,297,13,95.80645161290322
2014-01-02,281,20,93.35548172757476
2014-01-03,283,19,93.7086092715232
2014-01-06,276,19,93.55932203389833
2014-01-07,288,17,94.42622950819673
2014-01-08,278,18,93.91891891891892
2014-01-09,282,18,94.0
2014-01-10,280,16,94.5945945945946
2014-01-13,249,22,91.8819188191882
2014-01-14,270,13,95.40636042402826
2014-01-15,273,13,95.45454545454544
2014-01-16,273,12,95.78947368421052
2014-01-17,260,11,95.9409594095941
2014-01-21,257,11,95.8955223880597
2014-01-22,259,9,96.64179104477611
2014-01-23,239,14,94.46640316205531
2014-01-24,165,26,86.38743455497382
2014-01-27,143,29,83.13953488372093
2014-01-28,170,27,86.29441624365482
2014-01-29,140,30,82.35294117647058
2014-01-30,181,25,87.86407766990291
2014-01-31,163,27,85.78947368421052
2014-02-03,91,36,71.65354330708661
2014-02-04,108,33,76.59574468085107
2014-02-05,103,37,73.57142857142858
2014-02-06,141,32,81.5028901734104
2014-02-07,173,26,86.93467336683418
2014-02-10,172,25,87.30964467005076
2014-02-11,198,20,90.82568807339447
2014-02-12,199,23,89.63963963963964
2014-02-13,221,19,92.08333333333331
2014-02-14,234,14,94.35483870967742
2014-02-18,237,15,94.04761904761904
2014-02-19,222,20,91.73553719008264
2014-02-20,231,16,93.52226720647774
2014-02-21,232,19,92.43027888446214
2014-02-24,239,14,94.46640316205531
2014-02-25,242,14,94.53125
2014-02-26,242,13,94.90196078431372
2014-02-27,245,13,94.96124031007751
2014-02-28,261,13,95.25547445255476
2014-03-03,235,15,94.0
2014-03-04,269,12,95.72953736654804
2014-03-05,264,12,95.65217391304348
2014-03-06,269,9,96.76258992805757
2014-03-07,269,9,96.76258992805757
2014-03-10,262,11,95.97069597069596
2014-03-11,256,12,95.52238805970148
2014-03-12,261,12,95.6043956043956
2014-03-13,237,15,94.04761904761904
2014-03-14,231,14,94.28571428571428
2014-03-17,253,13,95.1127819548872
2014-03-18,268,10,96.40287769784172
2014-03-19,250,15,94.33962264150944
2014-03-20,255,11,95.86466165413536
2014-03-21,247,11,95.73643410852712
2014-03-24,224,12,94.91525423728814
2014-03-25,234,15,93.97590361445783
2014-03-26,206,15,93.21266968325791
2014-03-27,202,12,94.39252336448598
2014-03-28,217,10,95.59471365638768
2014-03-31,242,8,96.8
2014-04-01,260,7,97.37827715355806
2014-04-02,267,6,97.8021978021978
2014-04-03,261,7,97.38805970149254
2014-04-04,234,6,97.5
